Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Education_Not Graduate
0,2454,2333,181,360,0,1,1,0,1,0,0
0,2894,2792,155,360,1,1,1,0,1,0,0
0,2060,2209,134,360,1,1,1,0,0,0,0
0,2600,1700,107,360,1,0,0,0,0,0,0
0,6783,0,130,360,1,1,0,0,1,0,0
0,2149,3237,178,360,0,1,1,0,0,0,0
0,2439,3333,129,360,1,1,1,0,1,0,0
1,11500,0,286,360,0,1,1,1,0,1,0
0,1809,1868,90,360,1,1,1,0,0,0,1
1,5649,0,44,360,1,1,1,1,0,1,0
0,4133,0,122,360,1,1,1,0,1,0,0
0,2833,1857,126,360,1,1,1,0,0,0,0
2,3800,3600,216,360,0,1,1,0,1,0,1
1,4053,2426,158,360,0,1,1,0,0,0,1
1,3125,2583,170,360,1,1,1,1,0,1,0
0,4583,0,133,360,0,1,1,0,0,1,0
1,3326,913,105,84,1,1,0,0,0,1,0
2,1958,1456,60,300,1,1,0,0,1,0,0
0,3406,4417,123,360,1,1,1,0,1,0,0
2,1993,1625,113,180,1,1,1,0,1,0,0
0,2917,0,84,360,1,1,1,0,0,1,0
1,8300,0,152,300,0,1,1,0,1,0,0
2,16666,0,275,360,1,1,1,0,1,0,0
0,5166,0,128,360,1,1,1,0,1,0,0
1,18333,0,500,360,1,0,0,0,0,1,0
0,4300,0,136,360,0,1,0,0,0,0,0
0,2526,1783,145,360,1,1,1,0,0,0,1
2,1600,20000,239,360,1,1,0,0,1,0,0
0,2600,1717,99,300,1,0,0,0,0,1,0
2,3617,0,107,360,1,1,1,0,0,0,0
1,4608,2845,140,180,1,1,1,0,0,1,0
0,5000,2541,151,480,1,0,1,0,1,0,0
0,4860,830,125,360,1,1,1,0,1,0,1
0,4300,2014,194,360,1,1,0,0,0,1,0
3,4707,1993,148,360,1,0,0,0,0,0,0
3,3095,0,113,360,1,1,1,0,0,0,1
0,39147,4750,120,360,1,1,1,0,0,1,0
1,6608,0,137,180,1,1,1,0,0,1,0
1,2014,2925,113,360,1,1,1,0,1,0,0
0,3775,0,110,360,1,0,1,0,0,1,0
0,11146,0,136,360,1,1,0,0,0,1,0
0,14583,0,436,360,1,1,1,0,0,1,1
0,3167,0,74,360,1,1,1,1,0,0,0
0,3000,3416,56,180,1,1,1,0,0,0,0
3,5677,1424,100,360,1,1,0,0,0,1,0
0,3182,2917,161,360,1,1,1,0,1,0,1
1,3450,2079,162,360,1,1,1,0,0,1,0
0,2400,3800,146.41216216216216,180,1,1,1,0,0,1,0
0,5050,0,118,360,1,1,1,0,0,0,0
1,3500,1083,135,360,1,0,0,0,1,0,0
0,5417,0,168,360,1,1,0,1,1,0,1
0,2625,6250,187,360,1,0,0,0,1,0,0
3,3036,2504,158,360,0,1,1,0,0,1,1
1,11250,0,196,360,1,0,0,0,0,0,1
0,2600,3500,115,360,1,1,1,0,0,1,0
3,3522,0,81,180,1,1,1,0,0,0,1
0,16692,0,110,360,1,1,0,0,0,1,0
0,2132,1591,96,360,1,1,1,1,0,1,0
1,3541,0,112,360,1,1,1,0,0,0,0
0,3523,3230,152,360,0,1,1,0,1,0,0
1,3400,2500,173,360,1,1,1,0,1,0,0
0,2833,0,71,360,1,1,1,0,1,0,0
0,2400,2167,115,360,1,1,1,1,0,0,0
0,4000,2275,144,360,1,0,1,1,0,0,1
2,3900,0,90,360,1,1,1,0,0,1,0
0,9560,0,191,360,1,0,0,0,0,1,0
0,2333,2417,136,360,1,0,0,0,1,0,0
0,3676,4301,172,360,1,1,1,1,1,0,0
0,2221,0,60,360,0,1,1,0,0,1,0
0,2425,2340,143,360,1,1,1,0,0,1,1
0,2000,0,146.41216216216216,360,1,0,0,0,0,1,1
0,6050,4333,120,180,1,1,1,0,0,1,0
0,15759,0,55,360,1,1,1,1,1,0,1
0,3254,0,50,360,1,1,1,0,0,0,0
3,23803,0,370,360,1,1,1,0,1,0,0
0,2423,505,130,360,1,1,1,1,1,0,0
1,7451,0,146.41216216216216,360,1,1,1,0,0,0,0
0,5708,5625,187,360,1,1,1,0,0,0,0
0,3366,2200,135,360,1,0,0,0,0,1,0
0,2935,0,98,360,1,1,0,0,1,0,0
0,2971,2791,144,360,1,1,1,0,0,1,0
0,3510,0,76,360,0,1,1,0,0,1,0
1,4723,0,81,360,1,1,1,0,1,0,0
3,3083,0,255,360,1,0,0,0,0,1,0
0,1820,1719,100,360,1,1,1,0,0,1,0
0,2165,0,70,360,1,1,1,1,1,0,0
0,4885,0,48,360,1,1,1,0,0,1,0
0,4333,2451,110,360,1,1,1,1,1,0,0
3,6417,0,157,180,1,1,1,0,0,1,1
0,5941,4232,296,360,1,1,1,0,0,0,0
0,3620,0,25,120,1,1,1,0,1,0,0
1,6400,7250,180,360,0,1,0,0,0,0,0
0,2378,0,46,360,1,1,1,0,1,0,1
3,1830,0,146.41216216216216,360,0,1,1,0,1,0,0
